来源：人民日报语料库			
制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn			
汉字	出现次数	频率	累计频率
的	6159424	0.0343101649 	0.0343101649 
国	2195058	0.0122272475 	0.0465374124 
一	1877215	0.0104567499 	0.0569941623 
中	1587112	0.0088407738 	0.0658349361 
在	1549075	0.0086288943 	0.0744638304 
人	1546036	0.0086119660 	0.0830757964 
和	1409047	0.0078488889 	0.0909246853 
了	1406808	0.0078364169 	0.0987611022 
是	1317594	0.0073394635 	0.1061005657 
有	1264890	0.0070458836 	0.1131464493 
大	1213683	0.0067606425 	0.1199070918 
年	1115155	0.0062118068 	0.1261188986 
会	1090629	0.0060751883 	0.1321940869 
不	1049532	0.0058462635 	0.1380403504 
为	971968	0.0054142047 	0.1434545551 
发	911079	0.0050750315 	0.1485295866 
业	862317	0.0048034099 	0.1533329965 
民	834290	0.0046472897 	0.1579802862 
作	820950	0.0045729812 	0.1625532674 
要	815908	0.0045448954 	0.1670981628 
地	802888	0.0044723694 	0.1715705322 
上	792142	0.0044125104 	0.1759830426 
日	774383	0.0043135865 	0.1802966291 
行	760457	0.0042360138 	0.1845326429 
工	758788	0.0042267169 	0.1887593598 
出	742958	0.0041385382 	0.1928978980 
个	733123	0.0040837538 	0.1969816518 
这	732283	0.0040790747 	0.2010607265 
经	721645	0.0040198173 	0.2050805438 
家	678681	0.0037804926 	0.2088610364 
部	672070	0.0037436670 	0.2126047034 
以	667876	0.0037203050 	0.2163250084 
生	667228	0.0037166954 	0.2200417038 
对	655845	0.0036532880 	0.2236949918 
到	637656	0.0035519689 	0.2272469607 
成	636350	0.0035446940 	0.2307916547 
全	623210	0.0034714996 	0.2342631543 
来	617426	0.0034392807 	0.2377024350 
进	614888	0.0034251431 	0.2411275781 
政	602431	0.0033557532 	0.2444833313 
新	598216	0.0033322742 	0.2478156055 
市	592108	0.0032982505 	0.2511138560 
我	586202	0.0032653520 	0.2543792080 
主	579507	0.0032280585 	0.2576072665 
展	565178	0.0031482409 	0.2607555074 
多	558960	0.0031136044 	0.2638691118 
学	553896	0.0030853961 	0.2669545079 
建	551799	0.0030737151 	0.2700282230 
们	549659	0.0030617946 	0.2730900176 
时	545509	0.0030386776 	0.2761286952 
他	531085	0.0029583308 	0.2790870260 
法	526048	0.0029302730 	0.2820172990 
实	525880	0.0029293371 	0.2849466361 
方	512129	0.0028527392 	0.2877993753 
产	510504	0.0028436874 	0.2906430627 
理	510225	0.0028421333 	0.2934851960 
开	508821	0.0028343125 	0.2963195085 
本	495127	0.0027580321 	0.2990775406 
长	491393	0.0027372324 	0.3018147730 
月	489458	0.0027264538 	0.3045412268 
同	489412	0.0027261975 	0.3072674243 
重	485450	0.0027041278 	0.3099715521 
关	477697	0.0026609408 	0.3126324929 
报	476157	0.0026523625 	0.3152848554 
公	474192	0.0026414167 	0.3179262721 
社	463320	0.0025808559 	0.3205071280 
动	459315	0.0025585466 	0.3230656746 
于	458107	0.0025518176 	0.3256174922 
加	457219	0.0025468711 	0.3281643633 
力	449781	0.0025054389 	0.3306698022 
者	447211	0.0024911231 	0.3331609253 
高	446833	0.0024890175 	0.3356499428 
现	444079	0.0024736767 	0.3381236195 
合	441229	0.0024578012 	0.3405814207 
化	419579	0.0023372031 	0.3429186238 
用	414969	0.0023115237 	0.3452301475 
制	414235	0.0023074351 	0.3475375826 
分	412909	0.0023000488 	0.3498376314 
定	412202	0.0022961106 	0.3521337420 
员	403786	0.0022492305 	0.3543829725 
济	400094	0.0022286647 	0.3566116372 
自	399002	0.0022225819 	0.3588342191 
与	393764	0.0021934044 	0.3610276235 
区	393531	0.0021921065 	0.3632197300 
就	386919	0.0021552753 	0.3653750053 
前	384185	0.0021400460 	0.3675150513 
下	383600	0.0021367873 	0.3696518386 
等	382232	0.0021291671 	0.3717810057 
后	376493	0.0020971988 	0.3738782045 
文	375290	0.0020904977 	0.3759687022 
能	373372	0.0020798138 	0.3780485160 
说	372394	0.0020743660 	0.3801228820 
事	371153	0.0020674532 	0.3821903352 
面	369275	0.0020569920 	0.3842473272 
场	367186	0.0020453556 	0.3862926828 
体	363022	0.0020221606 	0.3883148434 
设	362775	0.0020207847 	0.3903356281 
过	361144	0.0020116995 	0.3923473276 
机	355182	0.0019784891 	0.3943258167 
务	354209	0.0019730691 	0.3962988858 
电	353038	0.0019665462 	0.3982654320 
得	350502	0.0019524198 	0.4002178518 
利	344408	0.0019184741 	0.4021363259 
农	343415	0.0019129427 	0.4040492686 
资	343310	0.0019123578 	0.4059616264 
代	338617	0.0018862162 	0.4078478426 
天	338193	0.0018838543 	0.4097316969 
总	334408	0.0018627705 	0.4115944674 
表	331487	0.0018464995 	0.4134409669 
好	331303	0.0018454746 	0.4152864415 
党	330408	0.0018404891 	0.4171269306 
各	328578	0.0018302954 	0.4189572260 
也	323894	0.0018042039 	0.4207614299 
委	323670	0.0018029561 	0.4225643860 
问	323618	0.0018026664 	0.4243670524 
北	323508	0.0018020537 	0.4261691061 
外	322190	0.0017947120 	0.4279638181 
之	319545	0.0017799784 	0.4297437965 
记	317450	0.0017683085 	0.4315121050 
平	317366	0.0017678406 	0.4332799456 
企	307239	0.0017114296 	0.4349913752 
提	306160	0.0017054192 	0.4366967944 
将	304268	0.0016948801 	0.4383916745 
小	302793	0.0016866638 	0.4400783383 
